model,scenario,region,variable,unit,subannual,2010,2015,2020,2025,2030,2035,2040,2045,2050
REMES:EU 1.0,Reference,     Belgium,Product Price Index|pTRAN       ,index,Year,        1.00,        0.99,        0.98,        0.99,        1.00,        1.02,        1.04,        1.07,        1.11
REMES:EU 1.0,Reference,     Belgium,Product Price Index|pELEC       ,index,Year,        1.00,        1.00,        1.00,        1.00,        1.01,        1.01,        1.02,        1.02,        1.02
REMES:EU 1.0,Reference,     Belgium,Product Price Index|pTRDI       ,index,Year,        1.00,        0.99,        0.97,        0.95,        0.93,        0.91,        0.89,        0.87,        0.85
REMES:EU 1.0,Reference,     Belgium,Product Price Index|pHTWT       ,index,Year,        1.00,        1.00,        1.00,        1.04,        1.03,        1.02,        1.01,        1.01,        1.01
REMES:EU 1.0,Reference,     Belgium,Product Price Index|pCHEA       ,index,Year,        1.00,        1.01,        1.03,        1.01,        1.02,        1.02,        1.02,        1.02,        1.02
REMES:EU 1.0,Reference,     Belgium,Product Price Index|pCONS       ,index,Year,        1.00,        1.01,        1.01,        1.01,        1.02,        1.02,        1.01,        1.01,        1.01
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pOIL        ,index,Year,        1.00,        1.00,        1.00,        0.96,        0.95,        0.94,        0.93,        0.92,        0.91
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pGSL        ,index,Year,        1.00,        0.99,        0.98,        1.01,        1.01,        1.01,        1.02,        1.03,        1.05
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pDSL        ,index,Year,        1.00,        0.99,        0.98,        1.02,        1.03,        1.04,        1.05,        1.06,        1.06
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pHDI        ,index,Year,        1.00,        0.98,        0.97,        0.97,        0.97,        0.96,        0.96,        0.95,        0.97
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pNG         ,index,Year,        1.00,        1.00,        1.00,        1.00,        1.00,        1.00,        1.00,        1.00,        1.00
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pCOA        ,index,Year,        1.00,        1.01,        1.02,        1.00,        1.01,        1.01,        1.01,        1.02,        0.98
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pBIO        ,index,Year,        1.00,        0.99,        0.97,        0.94,        0.93,        0.92,        0.92,        0.91,        0.97
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pFUL        ,index,Year,        1.00,        0.99,        0.99,        1.04,        1.04,        1.05,        1.06,        1.07,        1.08
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pH2         ,index,Year,        1.00,        1.00,        1.00,        0.96,        0.95,        0.94,        0.94,        0.94,        0.94
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pAGRI       ,index,Year,        1.00,        0.98,        0.96,        0.93,        0.92,        0.91,        0.90,        0.89,        0.87
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pINDU       ,index,Year,        1.00,        1.01,        1.02,        1.00,        1.01,        1.02,        1.03,        1.05,        1.07
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pALUM       ,index,Year,        1.00,        1.00,        0.99,        0.92,        0.91,        0.89,        0.88,        0.87,        0.85
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pSERV       ,index,Year,        1.00,        1.01,        1.01,        1.03,        1.03,        1.03,        1.03,        1.03,        1.03
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pTRAN       ,index,Year,        1.00,        0.97,        0.94,        0.92,        0.90,        0.88,        0.85,        0.83,        0.82
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pELEC       ,index,Year,        1.00,        0.99,        0.99,        0.95,        0.94,        0.92,        0.91,        0.89,        0.99
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pTRDI       ,index,Year,        1.00,        0.99,        0.97,        0.95,        0.93,        0.90,        0.88,        0.85,        0.82
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pHTWT       ,index,Year,        1.00,        1.03,        1.04,        1.01,        1.00,        0.98,        0.95,        0.93,        1.02
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pCHEA       ,index,Year,        1.00,        1.04,        1.08,        1.12,        1.17,        1.22,        1.28,        1.36,        1.44
REMES:EU 1.0,Reference,    Bulgaria,Product Price Index|pCONS       ,index,Year,        1.00,        1.00,        1.01,        1.01,        1.02,        1.03,        1.04,        1.06,        1.07
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pOIL        ,index,Year,        1.00,        0.98,        0.97,        1.19,        1.20,        1.22,        1.23,        1.24,        1.26
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pGSL        ,index,Year,        1.00,        1.00,        1.00,        1.12,        1.13,        1.15,        1.16,        1.17,        1.17
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pDSL        ,index,Year,        1.00,        1.00,        1.00,        1.08,        1.08,        1.08,        1.08,        1.08,        1.08
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pHDI        ,index,Year,        1.00,        1.00,        1.00,        0.99,        0.97,        0.95,        0.93,        0.90,        0.86
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pNG         ,index,Year,        1.00,        1.00,        1.00,        1.14,        1.16,        1.17,        1.19,        1.21,        1.22
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pCOA        ,index,Year,        1.00,        0.98,        0.96,        1.06,        1.03,        0.99,        0.95,        0.91,        0.87
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pBIO        ,index,Year,        1.00,        0.99,        0.99,        0.86,        0.83,        0.81,        0.79,        0.77,        0.76
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pFUL        ,index,Year,        1.00,        1.00,        1.00,        1.14,        1.15,        1.17,        1.18,        1.19,        1.20
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pH2         ,index,Year,        1.00,        1.00,        1.00,        0.98,        0.97,        0.96,        0.95,        0.94,        0.94
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pAGRI       ,index,Year,        1.00,        0.98,        0.97,        0.94,        0.92,        0.91,        0.89,        0.88,        0.86
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pINDU       ,index,Year,        1.00,        1.00,        1.01,        0.99,        1.00,        1.01,        1.02,        1.04,        1.05
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pALUM       ,index,Year,        1.00,        1.00,        1.00,        0.98,        0.98,        0.97,        0.97,        0.96,        0.96
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pSERV       ,index,Year,        1.00,        1.00,        1.00,        1.01,        1.01,        1.01,        1.01,        1.00,        1.00
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pTRAN       ,index,Year,        1.00,        0.98,        0.96,        0.98,        0.97,        0.96,        0.95,        0.95,        0.96
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pELEC       ,index,Year,        1.00,        1.01,        1.02,        0.96,        0.94,        0.92,        0.89,        0.86,        0.83
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pTRDI       ,index,Year,        1.00,        0.98,        0.97,        0.94,        0.91,        0.88,        0.86,        0.83,        0.82
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pHTWT       ,index,Year,        1.00,        0.99,        0.98,        1.02,        0.99,        0.96,        0.93,        0.90,        0.89
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pCHEA       ,index,Year,        1.00,        1.02,        1.03,        1.05,        1.08,        1.11,        1.14,        1.18,        1.23
REMES:EU 1.0,Reference,      Cyprus,Product Price Index|pCONS       ,index,Year,        1.00,        1.01,        1.04,        1.05,        1.08,        1.12,        1.16,        1.20,        1.25
REMES:EU 1.0,Reference,     Germany,Product Price Index|pOIL        ,index,Year,        1.00,        1.00,        1.00,        1.10,        1.13,        1.15,        1.17,        1.18,        1.20
REMES:EU 1.0,Reference,     Germany,Product Price Index|pGSL        ,index,Year,        1.00,        0.99,        0.99,        1.03,        1.05,        1.07,        1.09,        1.13,        1.18
REMES:EU 1.0,Reference,     Germany,Product Price Index|pDSL        ,index,Year,        1.00,        0.99,        0.99,        1.08,        1.10,        1.13,        1.14,        1.16,        1.15
REMES:EU 1.0,Reference,     Germany,Product Price Index|pHDI        ,index,Year,        1.00,        0.99,        0.99,        1.04,        1.05,        1.07,        1.08,        1.10,        1.11
REMES:EU 1.0,Reference,     Germany,Product Price Index|pNG         ,index,Year,        1.00,        1.00,        0.99,        1.09,        1.12,        1.14,        1.17,        1.19,        1.20
REMES:EU 1.0,Reference,     Germany,Product Price Index|pCOA        ,index,Year,        1.00,        1.00,        0.99,        1.02,        1.02,        1.00,        0.95,        0.89,        0.83
REMES:EU 1.0,Reference,     Germany,Product Price Index|pBIO        ,index,Year,        1.00,        0.99,        0.97,        1.00,        1.01,        1.02,        1.04,        1.08,        1.13
REMES:EU 1.0,Reference,     Germany,Product Price Index|pFUL        ,index,Year,        1.00,        0.99,        0.99,        1.08,        1.10,        1.10,        1.07,        0.96,        0.62
REMES:EU 1.0,Reference,     Germany,Product Price Index|pH2         ,index,Year,        1.00,        1.00,        1.00,        0.99,        0.99,        0.99,        0.99,        1.00,        1.00
REMES:EU 1.0,Reference,     Germany,Product Price Index|pAGRI       ,index,Year,        1.00,        1.00,        0.99,        0.98,        0.98,        0.98,        0.98,        0.98,        0.97
REMES:EU 1.0,Reference,     Germany,Product Price Index|pINDU       ,index,Year,        1.00,        1.00,        1.00,        0.99,        0.99,        1.00,        1.00,        1.01,        1.01
REMES:EU 1.0,Reference,     Germany,Product Price Index|pALUM       ,index,Year,        1.00,        1.00,        1.00,        1.03,        1.04,        1.04,        1.05,        1.05,        1.06
REMES:EU 1.0,Reference,     Germany,Product Price Index|pSERV       ,index,Year,        1.00,        1.00,        1.01,        1.02,        1.01,        1.01,        1.01,        1.01,        1.00
REMES:EU 1.0,Reference,     Germany,Product Price Index|pTRAN       ,index,Year,        1.00,        1.00,        1.00,        1.00,        1.01,        1.03,        1.05,        1.07,        1.10
REMES:EU 1.0,Reference,     Germany,Product Price Index|pELEC       ,index,Year,        1.00,        0.99,        0.99,        0.97,        0.97,        0.98,        1.00,        1.02,        1.05
REMES:EU 1.0,Reference,     Germany,Product Price Index|pTRDI       ,index,Year,        1.00,        0.99,        0.97,        0.95,        0.92,        0.90,        0.89,        0.87,        0.85
REMES:EU 1.0,Reference,     Germany,Product Price Index|pHTWT       ,index,Year,        1.00,        1.01,        1.01,        0.90,        0.88,        0.87,        0.86,        0.84,        0.79
REMES:EU 1.0,Reference,     Germany,Product Price Index|pCHEA       ,index,Year,        1.00,        1.01,        1.02,        1.02,        1.03,        1.04,        1.04,        1.05,        1.05
REMES:EU 1.0,Reference,     Germany,Product Price Index|pCONS       ,index,Year,        1.00,        1.00,        1.01,        1.01,        1.02,        1.02,        1.02,        1.02,        1.02
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pOIL        ,index,Year,        1.00,        1.00,        0.99,        1.06,        1.05,        1.04,        1.04,        1.03,        1.01
